news_item_id,news_item_entry_date,news_item_pi_first_name,news_item_pi_last_name,news_item_pi_title,news_item_pi_institution,news_item_pi_website,news_item_short_title,news_item_blurb,news_item_full_text,news_item_image_name,news_item_full_title,news_item_authors,news_item_citation,news_item_journal_url
16611,3/28/24,Laurie L.,Parker,Professor & Associate Dean for Undergraduate Education,University of Minnesota,https://cbs.umn.edu/directory/laurie-parker,Novel Substrate Prediction,"The TAM family of receptor tyrosine kinases is implicated in multiple distinct oncogenic signaling pathways. However, to date, there are no...","<p>The TAM family of receptor tyrosine kinases is implicated in multiple distinct oncogenic signaling pathways. However, to date, there are no FDA-approved small molecule inhibitors for the TAM kinases. Inhibitor design and screening rely on tools to study the kinase activity. Researchers in the <a href=""https://www.parkerlab.org"" target=""_blank"">Parker Lab</a> at the University of Minnesota, collaborating with the <a href=""https://www.karanicolaslab.org/team"" target=""_blank"">Karanicolas Lab</a>, where Grigorii Andrianov worked on the multimer modeling function of AlphaFold2, had the goal of addressing this gap by designing a set of synthetic peptide substrates for each of the TAM family members: Tyro3, Axl, and Mer.</p>
<p>Group members used an <em>in vitro</em> phosphoproteomics workflow to determine the substrate profile of each TAM kinase and input the identified substrates into their data processing pipeline, KINATEST-ID, producing a position-specific scoring matrix for each target kinase and generating a list of candidate synthetic peptide substrates. They synthesized and characterized a set of those substrate candidates, systematically measuring their initial phosphorylation rate with each TAM kinase by LC-MS.</p>
<p>The group also used the multimer modeling function of AlphaFold2, AF2, to predict peptide–kinase interactions at the active site for each of the novel candidate peptide sequences against each of the TAM family kinases and observed that, remarkably, every sequence for which it predicted a putative catalytically competent interaction was also demonstrated biochemically to be a substrate for one or more of the TAM kinases.</p>
<p>This work shows that kinase substrate design can be achieved using a combination of preference motifs and structural modeling, and it provides the first demonstration of peptide–protein interaction modeling with AF2 for predicting the likelihood of constructive catalytic interactions.</p>",ACS_Chem_Biol_parker.jpg,Novel Substrate Prediction for the TAM Family of RTKs Using Phosphoproteomics and Structure-Based Modeling,"Naomi E. Widstrom, Grigorii V. Andrianov, Jason L. Heier, Celina Heier, John Karanicolas, and Laurie L. Parker","<em>ACS Chem. Biol</em>. 2024, 19, 1, 117–12",https://doi.org/10.1021/acschembio.3c00549
15314,1/9/21,Jennifer,Heemstra​,Professor,Emory,https://www.heemstralab.com/about-the-pi,Social Media Guide,An ACS editorial that provides scientists a guide to navigating and using social media to share ideas and enhance connections...,"<p>Given all of the benefits of using social media, it’s hard to make a case for not being a part of it, especially since you get to control how much time to put into it. So, whether you’re in the same position the author was two years ago--thinking, “I know that I should join, but I have no idea how to start”--or if you’ve been on social media for a while and are seeing the benefits it has to offer, you should read this editorial.<p></p>
<p>While social media platforms may feel intimidating, confusing, or just not worth your time, the author's hope is to convince you that you can wade in slowly, learn quickly, and make it worth the effort.<p></p></p></p>",ACScentsci-e1610223522145.jpg,A Scientist’s Guide to Social Media,Jennifer M. Heemstra​,"ACS Cent. Sci. 2020, 6, 1, 1–5",https://pubs.acs.org/doi/10.1021/acscentsci.9b01273?fig=&ref=pdf
19618,2/14/25,Vinayak,Agarwal,Associate Professor,Georgia Institute of Technology,https://chemistry.gatech.edu/people/vinayak-agarwal,Genome Mining,"Brominated intermediates have long been favored in organic synthesis for their chemical versatility, particularly in transition-metal-assisted bond-forming reactions. The Agarwal and van der Donk study represents a significant leap...","<p>Researchers from the Agarwal Group at the Georgia Institute of Technology, and the van der Donk Group at the University of Illinois at Urbana−Champaign, have published a pioneering study in <em>Organic Letters</em>, unveiling a halogenase-mediated approach for functionalizing macrocyclic peptides. This method leverages the flavin-dependent halogenase MppI, which regioselectively brominates the indole-5 position of a tryptophan side chain within a macrocyclic peptide scaffold.</p>
<div style=""text-align: center; margin: 19px 0 19px 0;""><img src=""agarwal_vandedonk_org_lett_jan_25.jpg"" alt=""Abstract Image"" width=""573px;""></div>
<p>Brominated intermediates have long been favored in organic synthesis for their chemical versatility, particularly in transition-metal-assisted bond-forming reactions. The Agarwal and van der Donk study represents a significant leap in peptide modification, demonstrating the utility of MppI in facilitating regioselective bromination and subsequent Suzuki–Miyaura cross-coupling, SMCC, reactions, a process that enables the attachment of diverse chemical moieties to peptide backbones.</p>
<p>Using a genome mining strategy, the team identified a biosynthetic gene cluster, BGC, from the marine cyanobacterium <em>Moorena producens</em>. This BGC encodes MppI, a halogenase, and MppM, a lanthionine synthetase responsible for thioether-mediated macrocyclization. Their findings reveal:</p>
<ul>
<li><p><strong>Regioselectivity:</strong> MppI brominates the indole-5 position of Trp80 within the macrocyclic peptide core, avoiding competing chlorination.</p></li>
<li><p><strong>Macrocyclization Preference:</strong> MppI exhibits higher bromination efficiency with macrocyclic substrates over linear precursors.</p></li>
<li><p><strong>Leader Peptide Dependency:</strong> Bromination activity requires the presence of an intact N-terminal leader peptide, which mediates enzyme-substrate interactions.</p></li>
</ul>
<p>The macrocyclized and brominated peptide was subjected to SMCC with 4-methoxyphenyl boronic acid under mild conditions. The reaction demonstrated high specificity, forming a C–C bond at the brominated indole site. This method provides a versatile platform for introducing chemically reactive groups into macrocyclic peptides, expanding their potential for pharmacological applications.</p>
<p>Mechanistic insights into MppI revealed that a conserved lysine residue in its active site is essential for bromination. Mutating Lys73 to alanine abolished activity, confirming its role in mediating halogen transfer to the indole substrate. The study further employed competition assays to establish MppI's substrate preference for macrocyclized peptides, with bromination efficiencies significantly reduced in linear peptide substrates.</p>
<p>This research highlights the power of transformation-guided genome mining to uncover novel enzymatic functionalities, particularly for regioselective modification of challenging amino acid residues like tryptophan. By enabling precise chemical derivatization of macrocyclic peptides, this work paves the way for developing new biocatalytic tools and engineered peptide therapeutics with enhanced stability, bioactivity, and chemical versatility.</p>",agarwal_group.jpg,Transformation-Guided Genome Mining Provides Access to Brominated Lanthipeptides,"Nirmal Saha,F. N. U. Vidya, Youran Luo, Wilfred A. van der Donk, Vinayak Agarwal","<em>Org. Lett.</em>, 2025, 27, 4, 984–988",https://pubs.acs.org/doi/10.1021/acs.orglett.4c04529?
15279,4/30/20,Hiroaki,Suga,Dr.,The University of Tokyo,https://www.chem.s.u-tokyo.ac.jp/users/bioorg/English/index.html,γ-Amino Acids Elongation,"Because γ-amino acids generally undergo rapid self-cyclization upon esterification on the carboxyl group, for example, γ-aminoacyl-tRNA, there are no reports of the ribosomal elongation...","<p> Because γ-amino acids generally undergo rapid self-cyclization upon esterification on the carboxyl group, for example, γ-aminoacyl-tRNA, there are no reports of the ribosomal elongation of γ-amino acids. To avoid such self-cyclization, researchers in the Suga lab utilized cyclic γ-amino acids and demonstrate their elongation into a peptide chain.<p></p>
<p>Although the incorporation of the cyclic γ-amino acids is intrinsically slow, they have shown that the combination of elongation factor P and engineered tRNAs improves cyclic γ-amino acid incorporation efficiency. Via this method, thioether-macrocyclic peptides containing not only cyclic γ-amino acids but also d-α-, N-methyl-α-, and cyclic β-amino acids were expressed under the reprogrammed genetic code.<p></p>
<p>Ribosomally synthesized macrocyclic peptide libraries containing cyclic γ-amino acids should be applicable to in vitro screening methodologies such as mRNA display for discovering novel peptide drugs.<p></p></p></p></p>",amino_acids_elongation.jpg,Ribosomal Elongation of Cyclic γ‑Amino Acids using a Reprogrammed Genetic Code,Takayuki Katoh and Hiroaki Suga,"J. Am. Chem. Soc. 2020, 142, 4965−4969",https://pubs.acs.org/doi/10.1021/jacs.9b12280
15294,8/8/20,Kalyaneswar,Mandal,Dr.,TIFR Centre for Interdisciplinary Sciences,https://www.tifrh.res.in/~kmandal/,Chemical Protein Synthesis,Herein is reported an operationally simple method to facilitate chemical protein synthesis by fully convergent and one-pot native chemical ligations...,"<p>Herein is reported an operationally simple method to facilitate chemical protein synthesis by fully convergent and one-pot native chemical ligations utilizing the fluorenylmethyloxycarbonyl (Fmoc) moiety as an N-masking group of the N-terminal cysteine of the middle peptide thioester segment(s). <p></p>
<p>The Fmoc group is stable to the harsh oxidative conditions frequently used to generate peptide thioesters from peptide hydrazide or o-aminoanilide. The ready availability of Fmoc-Cys(Trt)-OH, which is routinely used in Fmoc solid-phase peptide synthesis, where the Fmoc group is pre-installed on cysteine residue, minimizes additional steps required for the temporary protection of the N-terminal cysteinyl peptides. The Fmoc group is readily removed after ligation by short exposure (&lt;7 min) to 20% piperidine at pH 11 in aqueous conditions at room temperature. Subsequent native chemical ligation reactions can be performed in presence of piperidine in the same solution at pH 7.<p></p></p></p>",Ang-Mandal.jpg,Efficient Chemical Protein Synthesis using Fmoc-Masked N-Terminal Cysteine in Peptide Thioester Segments,"Abhisek Kar, Jamsad Mannuthodikayil, Sameer Singh, Anamika Biswas, Puneet Dubey, Amit Das, and Kalyaneswar Mandal","Angew. Chem. Int. Ed. 2020, 59, 2–8",https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202000491
16567,3/27/24,James S.,Nowick,Distinguished Professor,"University of California, Irvine",https://www.faculty.uci.edu/profile/?facultyId=2043,Monoclonal Antibodies,"Monoclonal antibodies, mAbs, that target the β-amyloid peptide, Aβ, are important Alzheimer's disease research tools and are now being...","<p>Monoclonal antibodies, mAbs, that target the β-amyloid peptide, Aβ, are important Alzheimer's disease research tools and are now being used as Alzheimer's disease therapies. Conformation-specific mAbs that target oligomeric and fibrillar Aβ assemblies are of particular interest, as these assemblies are associated with Alzheimer's disease pathogenesis and progression.</p>
<p>In an article published in <em>Peptide Science</em>, researchers from the <a href=""https://www.einsteinmed.edu/faculty/11078/jonathan-lai/"" target=""_blank"">Jonathan Lai</a>, <a href=""https://www.faculty.uci.edu/profile/?facultyId=2043"" target=""_blank"">James Nowick</a>, Adam Kreutzer, and coworkers report the generation of rabbit mAbs against two different triangular trimers derived from Aβ. These antibodies are the first mAbs generated against Aβ oligomer mimics in which the high-resolution structures of the oligomers are known.</p>
<p>Lab members describe the isolation of the mAbs using single B-cell sorting of peripheral blood mononuclear cells, PBMCs, from immunized rabbits, the selectivity of the mAbs for the triangular trimers, the immunoreactivity of the mAbs with aggregated Aβ42, and the immunoreactivity of the mAbs in brain tissue from the 5xFAD Alzheimer's disease mouse model.</p>
<p>The characterization of these mAbs against structurally defined trimers derived from Aβ enhances understanding of antibody-amyloid recognition and may benefit the development of diagnostics and immunotherapies in Alzheimer's disease.</p>",antibodies_lai_nowick.jpg,Generation and Study of Antibodies Against Two Triangular Trimers Derived from Aβ,"Adam G. Kreutzer, Ryan J. Malonis, Chelsea Marie T. Parrocha, Karen Tong, Gretchen Guaglianone, Jennifer T. Nguyen, Michelle N. Diab, Jonathan R. Lai, James S. Nowick","<em>Peptide Science</em>, 2024, Volume 116, Issue 2",https://doi.org/10.1002/pep2.24333
15343,5/29/22,Kamran Pooshang,Bagheri,Prof.,Pasteur Institute of Iran,https://pasteur-ir.academia.edu/KamranPooshangBagheri,Anticancer Protein,"Cancer is one of the leading causes of mortality in the world. Unfortunately, the present anticancer chemotherapeutics display high cytotoxicity...","<p>Cancer is one of the leading causes of mortality in the world. Unfortunately, the present anticancer chemotherapeutics display high cytotoxicity. Accordingly, the discovery of new anticancer agents with lower side effects is highly necessitated.</p>
<p>This study aimed to discover an anticancer compound from Hemiscorpius lepturus scorpion venom. Bioactivity-guided chromatography was performed to isolate an active compound against colon and breast cancer cell lines. 2D electrophoresis and MALDI-TOF were performed to identify the molecule.</p>
<p> A partial protein sequence was obtained by mass spectrometry, while the full-length was deciphered using a cDNA library of the venom gland by bioinformatics analyses and was designated as leptulipin. The gene was cloned in pET-26b, expressed, and purified.</p>
<p>The anticancer effect and mechanism action of leptulipin were evaluated by MTT, apoptosis, and cell cycle assays, as well as by gene expression analysis of apoptosis-related genes. The treated cells displayed inhibition of cell proliferation, altered morphology, DNA fragmentation, and cell cycle arrest.</p> <p>Furthermore, the treated cells showed a decrease in BCL-2 expression and an increase in Bax and Caspase 9 genes. In this study, we discovered a new anticancer protein from H. lepturus scorpion venom. Leptulipin showed significant anticancer activity against breast and colon cancer cell lines.</p>",anticancer-protein.jpg,"Discovery of Leptulipin, a New Anticancer Protein from the Iranian Scorpion, Hemiscorpius lepturus","Ali Rezaei, Saeme Asgari, Samira Komijani, Seyedeh Narjes Sadat, Jean-Marc Sabatier, Davood Nasrabadi, Kamran Pooshang Bagheri, Delavar Shahbazzadeh, Mohammad Reza Akbari Eidgahi, Michel De Waard, and Hasan Mirzahoseini","Molecules 2022, 27, 2056. https://doi.org/10.3390/molecules27072056",
15333,6/29/21,Paramjit,Arora,Dr.,New York University,https://wp.nyu.edu/arora/,Protein Mimic,Members of the Arora lab constructed a synthetic Sos protein mimic that engages the wild-type and oncogenic forms of nucleotide-bound Ras and modulates downstream kinase signaling...,"<p>Aberrant Ras signaling is linked to a wide spectrum of hyperproliferative diseases, and components of the signaling pathway, including Ras, have been the subject of intense and ongoing drug discovery efforts.</p>
<p> The cellular activity of Ras is modulated by its association with the guanine nucleotide exchange factor Son of sevenless (Sos), and the high-resolution crystal structure of the Ras–Sos complex provides a basis for the rational design of orthosteric Ras ligands.</p>
<p> Members of the Arora lab constructed a synthetic Sos protein mimic that engages the wild-type and oncogenic forms of nucleotide-bound Ras and modulates downstream kinase signaling. The Sos mimic was designed to capture the conformation of the Sos helix–loop–helix motif that makes critical contacts with Ras in its switch region.</p>
<p>Chemoproteomic studies illustrate that the proteomimetic engages Ras and other cellular GTPases. The synthetic proteomimetic resists proteolytic degradation and enters cells through macropinocytosis.</p>
<p>As such, it is selectively toxic to cancer cells with up-regulated macropinocytosis, including those that feature oncogenic Ras mutations.<p></p></p>",Arora-e1624931025702.jpg,A Sos proteomimetic as a pan-Ras inhibitor,"Seong Ho Hong, Daniel Y. Yoo, Louis Conway, Khyle C. Richards-Corke, Christopher G. Parker, and Paramjit S. Arora","PNAS May 4, 2021 118 (18) e2101027118",https://www.pnas.org/content/118/18/e2101027118
15316,1/9/21,Paramjit,Arora,Prof.,New York University,https://www.nyu.edu/projects/arora/,Peptidomimetic Uptake,"Researchers in the Arora Lab observed that the cellular uptake of peptides is critically determined by the cell line-specifically, they noted that peptides show better uptake...","<p>Peptides and peptidomimetics represent the middle
space between small molecules and large proteins-they retain the
relatively small size and synthetic accessibility of small molecules
while providing high binding specificity for biomolecular partners
typically observed with proteins. <p></p>
<p>During the course of their efforts to target intracellular protein−protein interactions in cancer, researchers in the Arora Lab
observed that the cellular uptake of peptides is critically determined
by the cell line-specifically, they noted that peptides show better
uptake in cancer cells with enhanced macropinocytic indices. <p></p>
<p>Herein is described the results of their analysis of cellular penetration by different classes of conformationally stabilized peptides. They tested the uptake of linear peptides, peptide macrocycles, stabilized helices, β-hairpin peptides, and cross-linked helix dimers in 11 different cell lines.<p></p>
<p> Efficient uptake of these conformationally defined constructs directly correlated with the macropinocytic activity of each cell line: high uptake of compounds was observed in cells with mutations
in certain signaling pathways. Significantly, the study shows that constrained peptides follow the same uptake mechanism as proteins
in macropinocytic cells, but unlike proteins, peptide mimics can be readily designed to resist denaturation and proteolytic
degradation.<p></p>
<p> Their findings expand the current understanding of cellular uptake in cancer cells by designed peptidomimetics and
suggest that cancer cells with certain mutations are suitable mediums for the study of biological pathways with peptide leads.<p></p></p></p></p></p></p>",Arora-jacs-e1610226606777.jpg,Macropinocytosis as a Key Determinant of Peptidomimetic Uptake in Cancer Cells,"Daniel Y. Yoo, Stephanie A. Barros, Gordon C. Brown, Christian Rabot, Dafna Bar-Sagi, and Paramjit S. Arora","J. Am. Chem. Soc. 2020, 142, 14461−14471",https://pubs.acs.org/doi/abs/10.1021/jacs.0c02109
15269,7/5/19,William,Lubell,Professor,University of Montreal,https://www.wdlubellgroup.com/,Azapeptide Libraries,"Aza‐propargylglycine, azaPra, peptides are branching points for the synthesis of azapeptide libraries. Researchers in the Lubell Lab, published in...","<p>Aza‐propargylglycine, azaPra, peptides are branching points for the synthesis of azapeptide libraries. Researchers in the <a href=""https://www.wdlubellgroup.com/"" target=""_blank"">Lubell Lab</a>, published in <em>Peptide Science</em>, found that efficient alkylation of <em>N</em>-(Fmoc)hydrazine in solution provide <em>N'</em>‐propargyl fluorenylmethyl carbazate 13, which on activation gave <em>N</em>-(Fmoc)‐azaPra acid chloride for installation into peptides.</p>
<p>Reducing the number of steps on resin for azaPra peptide synthesis, which previously necessitated alkylation of a semicarbazone protected aza‐glycine residue, the new method offers potential for higher yield, as demonstrated by the synthesis of azacyclopeptide 1a, as well as by an alanine scan of this potent cluster of differentiation‐36 receptor, CD36, modulator. Considering the diverse applications of azaPra residues, the described method offers interesting potential for preparing linear and cyclic azapeptide libraries.</p>",azapeptides.jpg,Aza‐Propargylglycine Installation by Aza‐Amino Acylation: Synthesis and Ala‐Scan of an Azacyclopeptide CD36 Modulator,"Ahsanullah, Ramesh Chingle, Ragnhild G. Ohm, Pradeep S. Chauhan, William D. Lubell","Peptide Science, Volume 111, Issue 1, Special Issue: Emerging Peptide Science in Canada, January 2019",https://onlinelibrary.wiley.com/doi/abs/10.1002/pep2.24102
