category,first_name,last_name,professional_title,institution,service_start_date,service_end_date
President Elect,Anna,Mapp,Edwin Vedejs Collegiate Professor of Chemistry,University of Michigan,2023-06-24,2025-06-28
Past President,Joel,Schneider,Deputy Director of Basic Science,"NCI, Center for Cancer Research",2023-06-24,2025-06-28
President,Paramjit,Arora,Professor of Chemistry,New York University,2023-06-24,2025-06-28
Secretary,Krishna,Kumar,Robinson Professor of Chemistry,Tufts University,2023-06-24,2027-06-26
Councilor,Amelia,Fuller,"John Nobili, S. J. Professor",Santa Clara University,2019-06-28,2021-06-27
Councilor,Eileen,Kennedy,Dr. Samuel C. Benedict Professor,University of Georgia,2019-06-28,2021-06-27
Councilor,Anna Maria,Papini,Professor,University of Florence,2019-06-28,2021-06-27
Councilor,Ronald T.,Raines,Firmenich Professor of Chemistry,Massachusetts Institute of Technology,2019-06-28,2021-06-27
Treasurer,James S.,Nowick,"Professor, Department of Chemistry","University of California, Irvine",2021-06-26,2025-06-21
Councilor,Carrie,Haskell-Luevano,Professor & Associate Department Head,University of Minnesota,2021-06-26,2027-07-24
Councilor,Monika,Raj,Associate Professor,Emory University,2021-06-19,2027-06-19
Councilor,Lauren,Goodrich,"Director, R & D",Nimble Therapeutics,2021-06-26,2027-06-19
Councilor,W. Seth,Horne,Associate Professor,University of Pittsburgh,2021-06-26,2027-06-19
Councilor,Florence,Brunel,Principal Scientist,Novo Nordisk,2021-06-26,2027-06-19
Cou,Wendy,Hartsock,Director of Strategic Partnerships,Aralez Bio,2021-06-26,2027-06-19
Cou,Mark,Distefano,Professor,University of Minnesota,2023-06-24,2029-06-23
Councilor,Emel,Adaligil,Senior Scientific Manager,Genentech,2023-06-24,2029-06-23
Councilor,Michael,Bertucci,Assistant Professor,Lafayette College,2023-06-24,2029-06-23
Cou,Christina,Schroeder,Senior Fellow,Genentech,2023-06-24,2029-06-23
Councilor,Caroline,Proulx,Associate Professor,North Carolina State University,2023-06-24,2029-06-23
Association Manager,Lauren,Cline,Ph.D.,American Peptide Society,2020-06-19,
Councilor,James,Checco,Assistant Professor,University of Nebraska - Lincoln,,
