ID,Title,Content,Date,Permalink,Image URL,wpcf-award_name,wpcf-award-year,wpcf-awardee_fname,wpcf-awardee_lname,wpcf-awardee_institution,wpcf-awardee_description,wpcf-awardee_image,Slug,Status
14845,"Gierasch, Lila",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/gierasch-lila/,,merrifield,2019,Lila,Gierasch,University of Massachusetts at Amherst,"<p>Lila M. Gierasch earned her A. B. in 1970 from Mount Holyoke with a major in chemistry and obtained her Ph.D. in Biophysics from Harvard University in 1975, under the direction of Elkan Blout. She has held faculty positions at Amherst College, the University of Delaware, and the University of Texas Southwestern Medical School, where she held the Robert A. Welch Chair in Biochemistry.</p>
<p>In 1994, she joined the University of Massachusetts as Head of the Chemistry Department and subsequently served as Head of the Department of Biochemistry & Molecular Biology. In 2004 she returned to full-time research and teaching. She is currently Distinguished Professor of Biochemistry & Molecular Biology and Chemistry at UMass Amherst. She was Editor-in-Chief of Biopolymers: Peptide Science from 2004 to 2008, and in 2016 she became the Editor-in-Chief of the Journal of Biological Chemistry.</p>
<p>Professor Gierasch’s research focuses on protein folding and the cellular machinery that helps maintain folded, functional proteins. In 2006 she received a NIH Director’s Pioneer Award to tackle the challenging aspects of protein folding in vivo. Among her other honors are A. P. Sloan Fellowship in 1984, Guggenheim Fellowship in 1986, Vincent du Vigneaud Award from the American Peptide Society in 1984, D.Sc Honoris Causa from Mount Holyoke College in 2002, the 2006 Garvan-Olin Medal of the American Chemical Society, the 2012 Dorothy Hodgkin Award of the Protein Society in 2010, the 2014 Mildred Cohn Award of the American Society of Biochemistry & Molecular Biology, and the 2018 Ralph F. Hirschmann Award in Peptide Chemistry from the American Chemical Society. She was named a fellow of the Biophysical Society in 2014 and of the American Academy of Arts & Science in 2016.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/gierasch.jpg,gierasch-lila,publish
14846,"Deber, Charles",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/deber-charles/,,merrifield,2017,Charles,Deber,"University of Toronto, Hospital for Sick Children","<p>Professor Charles M. Deber, a Senior Scientist in the Research Institute at Toronto's Hospital for Sick Children, and Professor in the Department of Biochemistry at the University of Toronto, is the co-recipient of the 2017 R. Bruce Merrifield Award of the American Peptide Society. His laboratory is in the top echelon of worldwide structural biology research in peptide-based approaches to elucidation of fundamental peptide- and protein-membrane interactions.</p>
<p>Charles Deber was introduced to peptide chemistry early in his career through his undergraduate research with Murray Goodman at the Polytechnic Institute of Brooklyn. Deber earned his Ph.D. in synthetic organic chemistry with Arthur Cope at the Massachusetts Institute of Technology, and carried out postdoctoral studies at Harvard Medical School with Elkan Blout. At Harvard, Deber was involved in some of the earliest applications of NMR spectroscopy to the investigation of peptide conformations, was the first to observe the presence of cis peptide bonds in proline-containing peptides, and pioneered the use of cyclic peptides as rigidifying systems to diagnose residue-dependent structural features. Deber completed his training with Henry Lardy at the Enzyme Institute at the University of Wisconsin, Madison, working on ionophore-mediated calcium transport.</p>
<p>As an independent investigator in Toronto, Deber became interested in fundamental and applied problems at the interface between peptide/protein chemistry and lipid/membrane biochemistry — important topics because human diseases such as multiple sclerosis, cystic fibrosis, cancer, and diabetes have been linked to critical mutations in membrane proteins. Deber developed fundamental guidelines for membrane protein engineering and identified a 'threshold hydrophobicity' concept to explain spontaneous insertion of peptides into membranes.</p>
<p>Among the many contributions of the Deber laboratory was a novel 'Lys-tagging' procedure that overcame, for the first time, the inherent aqueous insolubility of trans-membrane polypeptide segments, thereby enabling facile solid-phase synthesis, purification, and characterization of highly hydrophobic peptides. Deber then used membrane-spanning peptides derived from the cystic fibrosis transmembrane conductance regulator, CFTR — the CF gene product — to work out a molecular level basis for some forms of cystic fibrosis. In other work, Deber de novo designed cationic antimicrobial peptides, CAPs, whose properties led to the elucidation of some factors that allow certain CAPs to select for bacterial membranes over, host, mammalian membranes. As well, the Deber lab solved a 30-year 'mystery' as to why membrane proteins migrate aberrantly on SDS-PAGE gels by discovering that SDS binds to peptide sequences differentially as a function of sequence hydrophobicity, <em>PNAS</em>, 2009.</p>
<p>Deber's career-long research is described in nearly 300 scientific papers and was performed by over 100 post-doctoral fellows, graduate students, and project students who were supervised and mentored by Dr. Deber. For these accomplishments, the American Peptide Society has honored Deber with the 2000 Vincent du Vigneaud Award and the 2009 Murray Goodman Award. Among other recognitions, Deber was elected in 2001 as a Fellow of the Royal Society of Canada, FRSC, and was elected in 2009 to the Board of Trustees of the Gordon Research Conferences. With the American Peptide Society, Deber served as its first elected President, 1991-1993, and was the Editor-in-Chief of the official APS journal Peptide Science, 1998-2004. He was the co-organizer, with Ken Kopple, of the 9th American Peptide Symposium, Toronto, 1985, and co-chair, with John Smith, of the 'Chemistry & Biology of Peptides' GRC, Ventura, 1996. He served two elected terms on the APS Council, 1997 — 2003 and 2009 — 2015. Professor Deber is also an outstanding teacher at the University of Toronto, receiving the W.T. Aikins Award as the top lecturer in the Faculty of Medicine for his ""Protein Structure and Function"" course, and is part of the team entrusted with teaching classes of 1,200 students ""Introductory Biochemistry"" — the largest science course in the Faculty of Arts & Science at the University of Toronto. To-date, Deber has taught over 18,000 undergraduates in this role.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/09/deber_charles_awardee.jpg,deber-charles,publish
14847,"Hodges, Robert",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/hodges-robert/,,merrifield,2017,Robert,Hodges,University of Colorado at Denver,"<p>Bob Hodges graduated with his Ph.D. in Biochemistry from the University of Alberta in 1971. He joined the laboratory of Dr. Bruce Merrifield at Rockefeller University in 1971 where he used solid- phase peptide synthesis to study the enzyme, Ribonuclease. In 1974, Bob left the Merrifield lab to accept a position as Assistant Professor of Biochemistry at the University of Alberta where he became a founding member of the famous Medical Research Council Group in Protein Structure and Function. Bob remained at the University of Alberta for more than 25 years, publishing prolifically and collaborating with scientists in many other fields, including joining two Networks of Centers of Excellence which involved outstanding researchers from across Canada to work together on research projects that bridged the gap between academia and industry. These Networks included the Canadian Bacterial Diseases Network (CBDN) and the Protein Engineering Network of Centers of Excellence (PENCE).</p>
<p>In 1994 Dr. Hodges took over the leadership of PENCE from Michael Smith, Nobel laureate, and headed this network for 6 years. In 2000 he moved to the University of Colorado, School of Medicine to accept the position as Director of the Program in Biomolecular Structure, Professor of Biochemistry and Molecular Genetics and holder of the John Stewart Endowed Chair in Peptide Chemistry. In the U.S. he was successful at obtaining NIH R01 grants in diverse areas of science, all applying peptide chemistry, to solve questions about peptides and proteins of biological interest. Bob has won many outstanding awards in both Canada and the U.S. among which are the Distinguished Medical Research Council of Canada Scientist Award. The MRC career awards were considered the most prestigious of such awards in Canada (1995-2000). In 1995 he won the Boehringer-Mannheim Award from the Canadian Society of Biochemistry and Molecular Biology, in recognition of a record of outstanding achievements in research in the field of biochemistry undertaken in Canada by a Canadian Scientist. Recognition followed in 1995 with the Alberta Science and Technology Award for outstanding leadership in Alberta Science.</p>
<p>In 2002, Dr Hodges won the Vincent Du Vigneaud Award from the American Peptide Society for outstanding achievements in peptide research. In 2009 he received the Inventor of the Year Award and in 2012 the Company of the Year Award (PeptiVir, Inc.) at the University of Colorado Denver. In 2013 he won the Murray Goodman Scientific Excellence and Mentorship Award from the American Peptide Society for career-long research excellence in the field of peptide science and significant mentorship and training of students, postdoctoral fellows and other co-workers. In 2017, he received the most prestigious award in peptide chemistry, the Bruce Merrifield Award, for outstanding lifetime accomplishment in peptide research, recognizing the highest level of scientific creativity.</p>
<p>Bob has served the peptide science community in a variety of roles. He chaired the 1993 American Peptide Symposium in Edmonton, Alberta. Interestingly, this meeting had the largest number of attendees of any American Peptide Symposium to date. From 1995-1999, Dr. Hodges served as President-elect and President of the American Peptide Society. He was Co-chair of the Gordon Research Conference on the Chemistry and Biology of Peptides in 2006. He has served on the editorial board of the Journal of Peptide Research, 5 years as associate editor and then on the editorial board of Chemical Biology and Drug Design as well as many other editorial boards.</p>
<p>Dr. Hodges has used peptide chemistry in an exceptionally creative and innovative manner to investigate major challenges in biomedical research. He has published over 560 publications in his career in areas highlighted below:</p>
<p><strong>1.</strong> Development of amphipathic alpha-helical antimicrobial peptides as therapeutics. He discovered the concept of ""specificity determinants"" to remove toxicity to human cells, enhance antimicrobial activity, control gram-negative pathogen selectivity and prevent high-affinity binding to serum proteins. 2. The development of synthetic peptide anti-adhesin bacterial vaccines and antibody therapeutics for the prevention and treatment of Pseudomonas aeruginosa bacterial infections.</p>
<p><strong>3.</strong> Development of synthetic peptide vaccines and peptide inhibitors to SARS-coronavirus infections. This project led to a novel templated coiled-coil system to present helical epitopes to the immune system. This technology is now being applied to develop a ""universal"" influenza A vaccine to highly conserved helical regions in the hemagglutinin protein.</p>
<p><strong>4.</strong> He sequenced the first two-stranded coiled-coil protein, tropomyosin, during his PhD project and has used coiled-coils as a model system to study protein folding, stability and de novo protein design.</p>
<p><strong>5.</strong> To understand the regulation of muscle contraction at the molecular level.</p>
<p><strong>6.</strong> Development of new HPLC and capillary electrophoresis methodology.</p>
<p>In addition to his scientific career, Bob also had a career as an elite athlete. He had the distinct privilege of representing Canada in international speed skating. He competed in three World Championships, 1968, 1970 and 1971, and two Olympics, 1968 Grenoble, France, and 1972 Sapporo, Japan.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/09/hodges_robert_awardee.jpg,hodges-robert,publish
14848,"Kessler, Horst",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/kessler-horst/,,merrifield,2015,Horst,Kessler,TU München Institute for Advanced Study,"<p>Professor Horst Kessler's main field is medicinal chemistry in peptides and peptidomimetics using conformational design. In addition he has developed many novel NMR techniques to investigate structure, dynamics and function of peptides and biologically important proteins such as p53, Hsp90, spider silk. Kessler has pioneered conformational analysis of, cyclic, peptides in solution in combination with Molecular Dynamics calculations, the use of D-amino acids in cyclic peptides for conformational control and the design of constrained peptides. He discovered and developed sugar amino acids for their use as mimetics and improved the synthesis of Aza-analogues and N-methylated peptides. One of Kessler's present interests is in the use of multiple N-methylation of peptides for achieving super-activities, receptor subtype selectivities and oral availabilities of cyclic peptides.</p>
<p>By systematic incorporation of the RGD tripeptide sequence in cyclic peptides and development of non-peptidic mimetics, Professor Kessler could develop very active ligands to bind and discriminate the different integrin subtypes αvβ3, αvβ5, αvβ6, α5β1 and αIIbβ3. They have been modified and optimised for their use in Molecular Imaging in animals and humans, for improvement of biomaterials via coating and for biophysical studies.</p>
<p>Kessler studied chemistry in Leipzig and Tübingen, Germany, and in 1971, he was appointed as full professor of Organic Chemistry at the age of 31 at the Goethe University in Frankfurt. In 1989 he moved to the Technische Universität München, TUM. After Kessler's retirement he became Emeritus of Excellence and Carl von Linde Professor at the Institute for Advanced Study at TUM, which allowed him to continue to do research with a small group.</p>
<p>Kessler has published more than 700 papers, and is highly cited with an h-factor of 88. Twentyone of his former co-workers are professors all around the world.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/09/kessler_horst_awarddee.jpg,kessler-horst,publish
14849,"Tam, James P.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/tam-james-p/,,merrifield,2013,James P.,Tam,"Nanyang Technological University, Singapore","<p>James P. Tam is the Director of the Drug Discovery Laboratory at Nanyang Technological University, Singapore. He was the founding dean of the School of Biological Sciences, founding director of the double-degree program in Biomedical Science and Chinese Medicine, and the founding director of NTU Biological Research Center.</p>
<p>His research focuses on synthetic methodology, drug design of metabolic-stable peptidyl biologics and intracellular delivery of peptides. He developed peptide dendrimers as synthetic vaccines. His current research also includes herbalomics in traditional medicines to discover novel peptides as potential therapeutics.</p>
<p>He received his Ph.D. in Medicinal Chemistry from the University of Wisconsin, Madison, USA and held appointments as Associate Professor at The Rockefeller University, USA, 1982-1991, Professor at Vanderbilt University, USA, 1991-2004, and The Scripps Research Institute, USA, 2004-2008.</p>
<p>Professor Tam has published more than 330 papers in these areas of research. He received the Vincent du Vigneaud Award in 1986, the Rao Makineni Award by American Peptide Society in 2003, the Ralph F. Hirschmann Award by the American Chemical Society, ACS, in 2005, and the Merrifield Award by American Peptide Society in 2013 for his outstanding contributions to peptide and protein sciences. In addition to his scientific research, he has also been active in the peptide community. Besides serving on many editorial boards, he organized international peptide and protein symposia and was co-founder of the past ten International Chinese Peptide Symposia. He received the Cathay Award from the Chinese Peptide Society, China in 1996.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/tam_james.jpg,tam-james-p,publish
14850,"DiMarchi, Richard",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/dimarchi-richard/,,merrifield,2011,Richard,DiMarchi,Indiana University,"<p>The American Peptide Society is very pleased to announce that Richard DiMarchi of Indiana University has been chosen to receive the R. Bruce Merrifield Award for 2011. DiMarchi is cited for ""discovery, development and advances in the field of peptide-based medicines"". This award will be presented during the 22nd APS Symposium to be held in San Diego, California on June 25-30, 2011.</p>
<p>Richard DiMarchi has distinguished himself in pharmaceutical, academic, and biotechnology circles of scientific investigation. The majority of his career has been conducted while a scientist and executive at Lilly Research Laboratories. In 2003, he joined the Chemistry Department at Indiana University as a Cox Professor and Gill Chair in Biomolecular Sciences. Additionally, he has co-founded two start-up biotechnology companies. The first with Dr. Pete Schultz named Ambrx, and the second titled Marcadia with Dr. Gus Watanabe.</p>
<p>The most visible therapeutic contributions from DiMarchi's laboratory pertain to the field of endocrinology, and more specifically diabetes. He made vital contributions to the development and commercialization of some of the first rDNA-based medicines, specifically Humulin® and Humatrope®. He exceeded these successes by cleverly designing the first rDNA-derived human peptide analog approved as a medicine, Humalog®. This work was built upon an in-depth understanding of diabetes care and the therapeutic deficiencies inherent to the native human insulin sequence. The design of this analog was inspired by the prior biosynthesis and biophysical characterization of human IGF-1. This biosynthesis was made possible by his development of selective chemical cleavage following tryptophan with preservation of integrity in the methionine and multiple cysteine residues. Through a subtle change in amino sequence of native insulin a Lys-Pro insulin analog emerged as a much more precise drug for glucose control. This single molecule currently represents a life-saving daily therapy for more than a million patients. More importantly it established a precedent that has been replicated through other chemical modifications with protein drugs.</p>
<p>DiMarchi's early work demonstrated the ability to successfully immunize agricultural animals against viral challenge with virulent virus, without the utilization of carrier protein. The nature of the immune response as a function of chemical structure across multiple serotypes of FMDV was elucidated. Separately, the group explored methods in rapid parallel synthesis of peptide inhibitors. In 1991 his laboratory demonstrated the ability to identify a nanomolar peptide inhibitor of HIV protease within a highly heterogeneous, but defined peptide mixture. The structure-activity relationship contributed to the initial structure-based drug design program that eventually yielded Viracept®. Some of the first reports in characterization of leptin action in rodent models of diabetes and obesity emerged from his research collaborations. Additionally, the native hormone was stabilized for clinical development as a crystalline analog and its structure reported in Nature. This work provided a foundation for pharmacology currently ongoing at Ambrx with site-specific leptin analogs of sustained action, in combination with peptide-based therapeutics.</p>
<p>Throughout the decade of the 1990s, DiMarchi served as the executive leader of endocrinology as Lilly expanded its interests from insulin to a broader base of diabetes-based medicine, and in particular skeletal diseases. The endocrine group at Lilly during his tenure was generally regarded as the most influential and successful in forging scientific direction in the pharmaceutical industry. Under his leadership, Forteo® (parathyroid hormone 1-34) and Evista® emerged as two drugs that have transformed the treatment of osteoporosis and advanced commercial research interests in diseases of women's health. Arguably, Forteo represents the best example of a regenerative medicine where functional bone is restored late in life to dramatically diminish the occurrence of bone fracture. It serves as a prime example of the miraculous medicinal properties possible in peptide-based medicines.</p>
<p>Richard DiMarchi has been extremely active in advancing biotechnology in academic and commercial ventures, especially as it relates to macromolecules and in particular peptides, proteins and anti-sense. He has co-author of more than one hundred scientific papers and an additional one hundred patents. He maintains international recognition in peptides, rDNA biosynthesis and endocrinology. At Lilly under his leadership the product development group successfully developed the commercial process for biosynthesis of Xigris®, one of the most molecular complex proteins produced. Its successful development against the disease of sepsis was viewed as a benchmark achievement in medical sciences. He has been a scientific advocate for RNA-based anti-sense drug candidates in collaboration with the Isis Corporation, where he currently serves a member of the board of directors.</p>
<p>His current work at Indiana University is likely to be the crowning achievement in an already distinguished career. His research group has discovered a set of incretin peptides that demonstrate unprecedented activity in pre-clinical in vivo models of diabetes and obesity. The central elements to success has been the chemistry to install within single peptides simultaneous agonism at related G-protein coupled receptors, and the counter-intuitive discovery that glucagon and GIP agonism could synergize the proven efficacy of GLP-1 in the treatment of the metabolic syndrome. A set of drug candidates differing in biochemical character have been pharmacologically assessed in rodents and primate disease models. They are independently being advanced clinically by three separate pharmaceutical companies.</p>
<p>Independent of the research at IU and Marcadia, DiMarchi has teamed with Dr. Peter Schultz to launch a company focused on chemical biotechnology, termed Ambrx. The simultaneous mutation of tRNAs and the synthetases that charge amino acids to them has demonstrated that amino acids previously restricted to synthetic approaches can be successfully prepared by rDNA biosynthetic methods, Schultz et al. At Ambrx, DiMarchi served as part-time CEO, CSO and chair of the SAB as the core technology matured to commercial expression levels and several proteins advanced towards clinical study. A sustained-acting growth hormone is currently in Ph II clinical study. Structurally optimized versions of beta-IFN, FGF-21 and leptin are also in advanced study.</p>
<p>Richard DiMarchi has demonstrated scientific excellence in the laboratory, as an executive administrator, and a distinguished teacher. Dr. DiMarchi is the recipient of numerous awards including the 2005 AAPS Career Research Achievement Award in Biotechnology, the 2006 ACS Barnes Award for Leadership in Chemical Research Management, the 2006 ACS Esselen Award for Chemistry in the Service of Public Interest, the 2007 Carothers Award for Excellence in Polymer Sciences, and the 2009 Watanabe Award for Life Sciences Research. He is readily accessible to collaborators, students, and a passionate public speaker in support of biotechnology, diabetes, <a href=""http://pubs.acs.org/cen/business/83/i11/8311bus1.html"" target=""new"">obesity and peptides</a>. He has served on a number of scientific boards, most notably the national BIO organization, the American Peptide Society, Chairman of the Peptide Therapeutic Foundation, and co-chaired the 21st APS symposium.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/dimarchi_richard.jpg,dimarchi-richard,publish
14851,"Kent, Stephen B.H.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/kent-stephen-b-h/,,merrifield,2009,Stephen B.H.,Kent,University of Chicago,"<p>Stephen Kent has pioneered modern methods for the total chemical synthesis of proteins, and has used these novel synthetic methods for unprecedented studies of protein structure and function.</p>
<p>Kent's early work focused on fundamental studies of methods for the chemical synthesis of peptides, and on the application of chemical peptide synthesis to studies of the hepatitis B virus and the human immunodeficiency virus. In 1989, this work culminated in the use of total chemical synthesis to prepare protein used for the determination, by crystallography collaborators, of the original X-ray structures of the HIV-1 protease molecule. These data were made freely available and formed the basis for the highly successful worldwide programs in structure based drug design that culminated in the development of the 'protease inhibitor' class of AIDS therapeutics.</p>
<p>The total chemical synthesis of proteins, especially enzymes, was one of the grand challenges in 20th century chemistry. In 1992, Kent effectively solved this problem by introducing the 'chemical ligation' principle, the use of chemoselective reaction for the covalent condensation of unprotected peptides in aqueous solution. In 1994, Kent and his colleagues extended this concept to 'native chemical ligation', the amide-forming thioester-mediated covalent condensation of two unprotected peptides at a cysteine residue. Chemical ligation methods are a break-through in protein science and for the first time have led to practical, reproducible, and general synthetic access to the world of proteins.</p>
<p>In 2003, Kent and his industry colleagues reported the systematic design and total chemical synthesis of the neoglycoprotein 'synthetic erythropoiesis protein', an improved version of erythropoietin. Synthetic EPO contained a polypeptide chain of 166 amino acid residues and had two covalently attached branched glycan-mimetics, homogeneous polymer entities of defined molecular structure each carrying four negative charges. Synthetic erythropoiesis protein is the largest synthetic protein construct ever made, with a molecular mass of 50,825 Daltons; it displayed full biological activity and improved duration of action <em>in vivo</em>.</p>
<p>The principal focus of the Kent laboratory at The University of Chicago is to understand the chemical basis of protein function, particularly enzyme catalysis, and to demonstrate that knowledge by the design and construction of protein molecules with novel properties. Stephen Kent and his colleagues have continued to develop improved synthetic chemistries for the study of proteins. These include 'one pot' methods (2004), and novel catalysts for native chemical ligation based on detailed mechanistic studies, 2007. In 2006, the Kent lab introduced 'kinetically controlled ligation', a method that has enabled the fully convergent total chemical synthesis of large protein molecules, including the crystalline fully active enzyme molecules human lysozyme and a covalent-dimer form of the HIV-1 protease containing a 203 amino acid residue polypeptide chain. In 2008, the Kent laboratory reported the use of racemic protein crystallography for the determination of novel molecular structures, using mirror image proteins prepared by total chemical synthesis to enable crystallization of difficult-to-crystallize proteins and to facilitate the determination of their X-ray structures by direct methods.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/kent_stephen.jpg,kent-stephen-b-h,publish
14852,"Karle, Isabella",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/karle-isabella/,,merrifield,2007,Isabella,Karle,Naval Research Laboratory,"<p>Isabella Karle was one of the pioneers in the area of small molecule structural biology who developed the method on which so many important concepts in peptide structure and function were corroborated. Without her pioneering contributions to this field, much of the wonderful work that followed would not have been possible.</p>
<p>An enormous step forward in solving structures by X-ray diffraction was made by J. Karle and H. Hauptman, Nobel Prize, 1985, who solved the phase problem that related phase information to the experimentally measured intensities. However, an important problem still remained before practical applications could be realized because the relationships between phases and intensities were contained in an infinite set of mathematical inequalities containing transcendental functions. During the 1950s and 1960s, Isabella Karle developed the bridge between pure mathematics requiring an infinite number of data and a practical application that made use of experimentally measured X-ray intensities that always contain some degree of error and are not infinite in number. Two of her publications of 1963 and 1966, co-authored with J. Karle, were chosen for special recognition by Citation Index Classics for the largest number of citations and greatest influence on life sciences.</p>
<p>It is important to note that until Isabella Karle devised this experimental procedure and carried out structural determinations of crystals that did not contain a center of symmetry or a disproportionately heavy atom, it was not possible to determine their structures. The history of this new development shows very clearly that for the first time her work made it possible to determine small molecule structures, and in the mid 1960s, she was the only one doing so. The cited studies were possible only because of Isabella Karle's bridging of theory to experiment.</p>
<p>Numerous, significant physical organic and biochemical applications followed that made use of the procedures of Isabella Karle, and some of the most important discoveries came from her own research programs. By solving high-resolution crystal structures of various cyclic and linear peptides, she established many of the fundamental principles governing the conformations of peptides. She showed the first example of the hydrogen bond now called the Type I β-turn, and provided precise geometric data that characterized the back bone reversals in cyclic hexaglycyl, Karle and Karle, 1963. In the same structure she established the existence of four distinct conformers existing side by side. She also found four coexisting conformers in crystals of enkephalin, 1983, that contained extended beta sheet structures. These discoveries corroborated the flexible nature of the backbone chain whether present in an extended linear peptide or in a cyclic form.</p>
<p>The impact of Isabella Karle's work led to an explosion in the number of complex crystal structures solved, extending to all classes of molecules. Her work has provided experimental corroboration for many other methods for structural determination, e.g. NMR structural determination, and provided high-resolution structures against which new algorithms in computational chemistry were measured. It is hard to imagine a more profound contribution to structural biology, especially in the area of peptide structure, conformation and biology, than Isabella Karle's work.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/karle_isabella.jpg,karle-isabella,publish
14853,"Houghten, Richard A.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/houghten-richard-a/,,merrifield,2005,Richard A.,Houghten,Torrey Pines Institute for Molecular Studies,,,houghten-richard-a,publish
14854,"DeGrado, William F.",,2023-11-10 20:15:57,https://americanpeptidesociety.org/award/degrado-william-f/,,merrifeild,2005,William F.,DeGrado,University of Pennsylvania,,,degrado-william-f,publish
