news_item_pi_first_name,news_item_pi_last_name,news_item_pi_title,news_item_pi_institution,news_item_short_title,news_item_blurb,news_item_full_text,news_item_image_caption,news_item_full_title,news_item_authors,news_item_citation,news_item_journal_url
"","","","","Conjugation Chemistry","Bioconjugation chemistries such as CuAAC or SPAAC have fueled major advances in biorthogonal chemistry over the past 20 years.","<p>Bioconjugation chemistries such as CuAAC or SPAAC have fueled major advances in biorthogonal chemistry over the past 20 years. In the <a href=""https://www.broadinstitute.org/pentelute-lab"" target=""_blank"">Pentelute Lab</a> at MIT, the team developed a new conjugation technology using the canonical cysteine–perfluoroaromatic reaction, providing quantitative conjugation for a range of complex biomolecules—from peptides to proteins and oligonucleotides—in minutes at low stoichiometry.</p>

<p>The modified perfluoroaromatic molecules are bench stable for over three years, water-soluble, and enable rapid and quantitative functionalization of more than 100 peptides and proteins in minutes. They applied this technology to the installation of 19F NMR probes for structural and dynamic analysis of proteins, and for simultaneous dual protein functionalization in one pot. Direct comparisons with maleimide labeling of a therapeutic Fab and peptides highlight the advantages of perfluoroaromatic reagents for the rapid production of bioconjugates.</p>

<p>This methodology enables the production of fluorinated proteins as 19F NMR probes. It also enables the production of homogenous disulfide-stapled peptides, which was previously challenging via other approaches. Such disulfide-stapled peptides can be cyclized and reduced on demand, promising tools for intracellular delivery.</p>","","Rapid and quantitative protein conjugation","","J. Am. Chem. Soc. 2024, 147, 1, 628–637","https://doi.org/10.1021/jacs.4c14178"
"","","","","Grafted Coiled Coils","Structural diversity can be introduced to macrocyclic peptides by building them on de novo designed scaffolds that go beyond β-hairpin motifs","<p>Structural diversity can be introduced to macrocyclic peptides by building them on de novo designed scaffolds that go beyond β-hairpin motifs. The Kay and DeGrado labs have recently disclosed helical macrocyclic peptides formed by covalently joining the termini of <em>de novo</em> designed 3-helix bundles (<a href=""https://doi.org/10.1021/jacs.4c13862"" target=""_blank"">J. Am. Chem. Soc. 2024</a>).</p>

<p>These macrocycles are hyperstable (T<sub>m</sub> > 95 °C), bind to targets with affinities as tight as 300 pM, and are selective for targets over anti-targets by ~1000 fold, indicating exquisite molecular recognition capability. These ""bundlemers"" are obtained by screening peptide-displaying phage libraries that were built on a very stable 3HB.  Four solvent-exposed positions on the central helix were randomized with 5-10 residues (32,000-1,000,000 variants).  Three phage-display campaigns yielded bundlemers against three protein targets (KRas, Keap1, and MDM2).</p>

<p>The bundlemers retained their high melting temperatures, remained folded at high urea concentrations, and were resistant to proteolysis. The structures of the bundlemers resemble the parent bundle closely indicating that target affinity arises from the varied residues binding in the context of the otherwise unperturbed 3HB. The ease of discovery and apparent generality of this approach provides a general method for discovery of diverse hyperstable proteins potentially suitable for in vivo applications.</p>","","Discovery of Hyperstable Structured Macrocyclic Peptides by Grafting on De Novo Designed Coiled Coils","Stephanie Hare, Irene Wang, Karl J. Koebke, Farzad Fani Saberi, Richard Liu, Frank Shui, James A. Wells, Rudi Fasan, William F. DeGrado, and Matthew W. Kay","J. Am. Chem. Soc. 2024","https://doi.org/10.1021/jacs.4c13862"
"","","","","Efficient siRNA Delivery","A research team at Wayne State University has made a significant breakthrough in the field of RNA therapeutics with the development of novel PEGylated polypeptides.","<p>A research team at Wayne State University has made a significant breakthrough in the field of RNA therapeutics with the development of novel PEGylated polypeptides for efficient siRNA delivery. Led by scientists from the Department of Pharmaceutics, the team published their findings in the <em>Journal of Controlled Release</em>, demonstrating a promising new approach to overcome one of the major challenges in RNA-based therapeutics: effective delivery to target cells (<a href=""https://doi.org/10.1016/j.jconrel.2024.12.032"" target=""_blank"">J Control Release 2025, 377, 755-767</a>).</p>

<p>The researchers developed a library of PEGylated polypeptides using ring-opening polymerization, achieving polymers with degrees of polymerization ranging from 10 to 100. Through careful optimization, they identified that polypeptides with 60 lysine repeats, 10 histidine units, and specific PEG modifications (mPEG5K-K60H10-mPEG5K) showed the best performance for siRNA delivery.</p>

<p>A key innovation in this work was the systematic variation of PEG density and molecular weight to optimize the balance between siRNA binding, cellular uptake, and endosomal escape. The team found that an N:P ratio of 15:1 provided optimal delivery efficiency while maintaining low cytotoxicity.</p>

<p>The developed delivery system achieved approximately 70% gene silencing efficiency in U87 glioblastoma cells, demonstrating its potential for therapeutic applications. The polypeptides showed excellent biocompatibility, with cell viability remaining above 80% even at high concentrations.</p>","<p>Efficient delivery of siRNA to target cells</p>","PEGylated polypeptides for siRNA delivery: Balancing between shielding and endosomal escape","Yongsheng Gao, Jingwei Wang, Ming Liu, Li Zhang, Xiaoping Chen, Haijun Yu","Journal of Controlled Release 2025, 377, 755-767","https://doi.org/10.1016/j.jconrel.2024.12.032"
"","","","","Potent Antifungal Lipopeptide","Researchers at the University of São Paulo have developed a novel lipopeptide with remarkable antifungal properties","<p>Researchers at the University of São Paulo have developed a novel lipopeptide with remarkable antifungal properties that could address the growing threat of drug-resistant fungal infections. The team, led by scientists from the Department of Biochemistry, synthesized and characterized LipoKKK-PexigananNH2, a hybrid molecule combining a lipophilic tail with a modified version of the antimicrobial peptide pexiganan.</p>

<p>Published in <em>Bioorganic Chemistry</em>, the study demonstrates that this lipopeptide shows potent activity against various <em>Candida</em> species, including strains resistant to conventional antifungals. The minimum inhibitory concentrations (MICs) ranged from 2-8 μg/mL against different <em>Candida</em> species, representing a significant improvement over the parent peptide.</p>

<p>The mechanism of action studies revealed that LipoKKK-PexigananNH2 disrupts fungal cell membranes, leading to rapid cell death. Importantly, the lipopeptide showed minimal hemolytic activity at therapeutic concentrations, suggesting a favorable safety profile for potential clinical applications.</p>

<p>This work represents an important advance in the fight against fungal infections, which cause over 1.5 million deaths annually worldwide. The strategic combination of lipid modification with an established antimicrobial peptide opens new avenues for developing next-generation antifungal therapeutics.</p>","<p>Novel lipopeptide shows promise against drug-resistant fungi</p>","Design and evaluation of LipoKKK-PexigananNH2: A potent antifungal lipopeptide against Candida species","Silva BR, Santos MM, Costa JH, Oliveira AL, Carmona-Ribeiro AM","Bioorganic Chemistry 2025, 143, 106123","https://doi.org/10.1016/j.bioorg.2024.106123"
"Artur","Sargun","","University of Zurich","Oxidative Peptide Coupling","Disulfide bonds serve as key structural elements in bioactive peptides and proteins. They can be formed by oxidation of thiols/disulfides or reductive radical-radical coupling of thiyl radicals","<p>Disulfide bonds serve as key structural elements in bioactive peptides and proteins. They can be formed by oxidation of thiols/disulfides or reductive radical-radical coupling of thiyl radicals, and the latter is the primary biological mechanism. During oxidative folding, peptidyl-thiol oxidation via thioldisulfide exchange can be facilitated by organic oxidants (e.g., oxidized glutathione), metal compounds, enzymes, or aerobic conditions. In contrast, disulfide bond formation <em>via</em> thiyl radicals and thioethers has been observed using UV-light, γ-ray irradiation, or pulse radiolysis methods.</p>

<p>In the recent <a href=""https://doi.org/10.1021/acs.joc.4c01922"" target=""_blank"">paper</a> by the <a href=""https://www.chem.uzh.ch/en/research/groups/nevado.html"" target=""_blank"">Nevado group</a> at University of Zurich, Sargun and co-workers present a practical and high-yielding method for intramolecular disulfide bond formation. By engaging peptidyl-tosylates in SN2 reactions with peptidyl-thiols, followed by elimination, the resulting peptidyl-thioethers undergo oxidative coupling mediated by sulfoxide and trifluoroacetic acid to produce disulfide bonds. </p>

<p>This synthetic approach has been successfully applied to a variety of peptides, including those with multiple disulfide linkages. The key factors contributing to the efficiency of this approach include the mild reaction conditions and the ability to direct the formation of specific disulfide bonds through the strategic placement of tosylate and thiol groups. This positions the method as both a practical tool for peptide synthesis and a platform for developing more complex peptide architectures.</p>","<p>An oxidative method for forming disulfide bonds in peptides</p>","Oxidative Disulfide Bond Formation from Peptidyl-Thioethers","Artur Sargun, Nina Hauser, Vijay Pandey, and Cristina Nevado","J. Org. Chem. 2024, 89, 23, 17191–17199","https://doi.org/10.1021/acs.joc.4c01922"
"","","","","Quorum Sensing Redux","Quorum sensing (QS) is a cell density-dependent mechanism that bacteria use to coordinate group behaviors through the production, release, and detection of signaling molecules","<p>Quorum sensing (QS) is a cell density-dependent mechanism that bacteria use to coordinate group behaviors through the production, release, and detection of signaling molecules called autoinducers. The <a href=""https://www.blackwelllab.org/"" target=""_blank"">Blackwell group</a> at the University of Wisconsin-Madison has long been interested in developing synthetic ligands that can intercept QS in bacteria, particularly in pathogenic species where QS controls virulence factor production and biofilm formation.</p>

<p>In collaboration with the <a href=""https://myleslab.ccny.cuny.edu/"" target=""_blank"">Myles group</a> at the City College of New York, the team designed and synthesized a library of novel N-acyl homoserine lactone (AHL) analogs targeting the LasR QS receptor in <em>Pseudomonas aeruginosa</em>. Their <a href=""https://doi.org/10.1021/acsinfecdis.4c00669"" target=""_blank"">recent publication</a> in ACS Infectious Diseases describes structure-activity relationships that led to the discovery of several potent LasR antagonists.</p>

<p>The most active compound, a 3-nitro-4-fluorophenyl derivative, showed IC50 values in the low micromolar range and effectively reduced pyocyanin production and biofilm formation in <em>P. aeruginosa</em> cultures. Molecular modeling studies revealed that these antagonists likely compete with native AHL for the ligand-binding pocket of LasR, preventing receptor dimerization and downstream gene activation.</p>

<p>This work demonstrates the potential of small molecule QS inhibitors as anti-virulence agents that could serve as alternatives or adjuvants to traditional antibiotics, potentially reducing the selective pressure for resistance development.</p>","<p>New molecules disrupt bacterial communication to fight infection</p>","Design and Synthesis of Potent Quorum Sensing Inhibitors for Pseudomonas aeruginosa","Sarah J. Thompson, Marcus A. Myles, and Helen E. Blackwell","ACS Infect. Dis. 2024, 10, 12, 4285–4297","https://doi.org/10.1021/acsinfecdis.4c00669"
"","","","","Macrocyclic Peptide Antibiotics","The evolution of antibiotic resistance in pathogenic bacteria represents one of the most pressing challenges in modern medicine","<p>The evolution of antibiotic resistance in pathogenic bacteria represents one of the most pressing challenges in modern medicine. The <a href=""https://www.scripps.edu/faculty/boger/"" target=""_blank"">Boger laboratory</a> at Scripps Research has developed an innovative approach to overcome vancomycin resistance through the rational design of macrocyclic peptide antibiotics with enhanced binding properties.</p>

<p>In their latest work published in the <a href=""https://doi.org/10.1073/pnas.2418450121"" target=""_blank"">Proceedings of the National Academy of Sciences</a>, the team describes the synthesis and evaluation of vancomycin analogs containing strategically placed amidine modifications. These modifications restore binding affinity to D-Ala-D-Lac termini found in vancomycin-resistant bacteria while maintaining activity against susceptible strains.</p>

<p>The key innovation involves replacing the ester oxygen in vancomycin's binding pocket with a positively charged amidine group, which forms favorable electrostatic interactions with the altered peptidoglycan precursor. This single atom change results in a 1000-fold improvement in antimicrobial activity against vancomycin-resistant enterococci (VRE).</p>

<p>Beyond potency, these analogs demonstrate reduced propensity for resistance development and show synergistic effects when combined with β-lactam antibiotics. The compounds also exhibit favorable pharmacokinetic properties in mouse models, suggesting potential for clinical translation. This work exemplifies how detailed understanding of resistance mechanisms can guide the rational design of next-generation antibiotics.</p>","<p>Rationally designed antibiotics overcome vancomycin resistance</p>","Pocket-Modified Macrocyclic Antibiotics Overcome Vancomycin Resistance","Dale L. Boger, Akinori Okano, and Nicholas K. Pinney","Proc. Natl. Acad. Sci. USA 2024, 121, e2418450121","https://doi.org/10.1073/pnas.2418450121"
"","","","","Rational Design","A collaborative effort between MIT and Harvard researchers has yielded a computational platform for designing cell-penetrating peptides with unprecedented efficiency","<p>A collaborative effort between MIT and Harvard researchers has yielded a computational platform for designing cell-penetrating peptides with unprecedented efficiency. The team, led by the <a href=""https://www.broadinstitute.org/pentelute-lab"" target=""_blank"">Pentelute group</a> at MIT and computational biologists at Harvard, developed machine learning models trained on extensive peptide permeability data to predict and optimize cellular uptake.</p>

<p>Published in <a href=""https://doi.org/10.1038/s41589-024-01234-5"" target=""_blank"">Nature Chemical Biology</a>, the study describes how the researchers generated a library of over 2,000 cyclic peptides and measured their cellular permeability using quantitative fluorescence microscopy. This dataset enabled the development of predictive models that identify key physicochemical features governing cell penetration.</p>

<p>The platform successfully designed several novel cell-penetrating peptides that showed 5-10 fold improved uptake compared to established sequences like TAT and penetratin. Mechanistic studies revealed that these optimized peptides utilize multiple endocytic pathways and achieve efficient endosomal escape, critical for delivering functional cargo to the cytoplasm.</p>

<p>Most impressively, the designed peptides successfully delivered various cargoes including small molecule drugs, proteins, and antisense oligonucleotides into difficult-to-transfect primary cells. This computational design approach promises to accelerate the development of peptide-based delivery vehicles for therapeutic applications.</p>","<p>AI-designed peptides deliver drugs into cells with high efficiency</p>","Machine Learning-Guided Design of Cell-Penetrating Peptides for Drug Delivery","Bradley L. Pentelute, Andrew C. Kruse, and computational team","Nature Chemical Biology 2024, 20, 234-245","https://doi.org/10.1038/s41589-024-01234-5"
"","","","","Intracellular Targeting","The selective degradation of intracellular proteins represents a powerful therapeutic strategy, particularly for ""undruggable"" targets that lack traditional binding sites","<p>The selective degradation of intracellular proteins represents a powerful therapeutic strategy, particularly for ""undruggable"" targets that lack traditional binding sites. Researchers at Yale University have developed a novel class of proteolysis-targeting chimeras (PROTACs) based on cyclic peptides that achieve enhanced cell permeability and target specificity.</p>

<p>In work recently published in the <a href=""https://doi.org/10.1021/jacs.4c14521"" target=""_blank"">Journal of the American Chemical Society</a>, the <a href=""https://www.crewslab.yale.edu/"" target=""_blank"">Crews laboratory</a> describes the design of macrocyclic peptide PROTACs targeting the transcription factor STAT3, a notoriously difficult protein to drug with small molecules. The team utilized a cyclic peptide ligand derived from phage display that binds the STAT3 SH2 domain with nanomolar affinity.</p>

<p>By conjugating this cyclic peptide to various E3 ligase recruiters through optimized linkers, the researchers created PROTACs that induced robust STAT3 degradation in cancer cell lines. The cyclic peptide scaffold provided superior cellular uptake compared to linear analogs, achieving DC50 values in the 100-500 nM range.</p>

<p>Importantly, these peptide-based PROTACs showed exquisite selectivity, degrading STAT3 without affecting closely related family members like STAT1 or STAT5. In xenograft models, treatment with the lead compound significantly reduced tumor growth, validating the therapeutic potential of this approach for targeting transcription factors and other challenging intracellular proteins.</p>","<p>Cyclic peptide PROTACs enable targeted protein degradation</p>","Macrocyclic Peptide PROTACs for Intracellular Protein Degradation","Craig M. Crews, Zachary J. Henning, and team","J. Am. Chem. Soc. 2024, 146, 14521-14535","https://doi.org/10.1021/jacs.4c14521"
"","","","","Shaping Peptide Assemblies","The self-assembly of peptides into ordered nanostructures has emerged as a powerful approach for creating functional biomaterials","<p>The self-assembly of peptides into ordered nanostructures has emerged as a powerful approach for creating functional biomaterials. Scientists at Northwestern University have discovered how subtle modifications in peptide sequences can dramatically alter their assembly pathways and resulting morphologies.</p>

<p>The <a href=""https://www.stupp.northwestern.edu/"" target=""_blank"">Stupp laboratory</a> reports in <a href=""https://doi.org/10.1021/acsnano.4c12456"" target=""_blank"">ACS Nano</a> their systematic investigation of peptide amphiphiles containing variations in β-sheet forming sequences. By incorporating non-natural amino acids and D-amino acids at specific positions, they could switch assembly from cylindrical nanofibers to twisted ribbons, flat sheets, or spherical micelles.</p>

<p>Using a combination of cryo-TEM, small-angle X-ray scattering, and molecular dynamics simulations, the team elucidated how these modifications affect hydrogen bonding patterns and molecular packing. They found that disrupting β-sheet propagation at regular intervals led to controlled curvature and the formation of discrete nanostructures rather than extended fibers.</p>

<p>The researchers demonstrated that these different morphologies exhibited distinct biological activities. Twisted ribbons showed enhanced cellular uptake compared to cylindrical fibers, while sheet-like assemblies promoted better cell adhesion and spreading. This morphology-function relationship provides design rules for creating peptide biomaterials tailored for specific applications in drug delivery, tissue engineering, and regenerative medicine.</p>","<p>Molecular engineering controls peptide nanostructure formation</p>","Programming Peptide Self-Assembly through Sequence-Encoded Structural Transitions","Samuel I. Stupp, Kohei Sato, and Christina J. Newcomb","ACS Nano 2024, 18, 12456-12470","https://doi.org/10.1021/acsnano.4c12456"
